5;28.35;30.41;101174.47;-14.56;31.53;0.14;-0.01;1.08;-6.38;-2.69;1.34
6457;28.35;30.41;101172.61;-14.41;32.53;0.14;-0.01;1.08;-6.44;-3.11;1.02
6567;28.35;30.41;101171.27;-14.29;31.53;0.14;0;1.07;-6.55;-2.53;2.11
6679;28.35;30.42;101175.07;-14.61;32.53;0.14;0;1.07;-6.67;-2.46;1.91
6790;28.35;30.42;101172.36;-14.38;32.53;0.14;0;1.07;-6.02;-3.05;1.36
6901;28.35;30.41;101171.75;-14.34;32.53;0.14;0;1.07;-6.72;-2.69;1.79
7012;28.35;30.41;101168.56;-14.07;32.53;0.15;0;1.07;-6.14;-3.02;1.66
7123;28.35;30.41;101169.32;-14.13;32.53;0.14;0;1.07;-6.2;-2.79;1.1
7234;28.35;30.41;101171.75;-14.34;32.53;0.14;0;1.08;-6.14;-2.81;1.71
7346;28.35;30.43;101172.61;-14.41;32.53;0.14;0;1.07;-6.11;-2.61;1.59
7456;28.35;30.42;101174.7;-14.58;32.53;0.13;0;1.08;-6.15;-3.44;1.76
7568;28.35;30.42;101173.88;-14.51;32.53;0.13;0;1.07;-5.65;-2.47;1.54
7678;28.35;30.42;101171.35;-14.3;32.53;0.13;-0.01;1.07;-6.17;-3.24;1.56
7790;28.35;30.42;101172.7;-14.42;32.53;0.14;0;1.08;-6.46;-2.79;1.3
7901;28.35;30.42;101171.35;-14.3;32.53;0.15;0;1.08;-6.49;-2.41;1.59
8012;28.35;30.43;101173.46;-14.48;32.53;0.14;-0.01;1.08;-5.89;-2.49;1.45
8123;28.35;30.43;101170.25;-14.49;32.53;0.13;-0.01;1.08;-6.21;-2.37;1.33
8235;28.35;30.42;101171.15;-14.28;32.53;0.14;0;1.07;-6.27;-2.81;1.74
8345;28.35;30.43;101172.44;-14.4;32.53;0.15;-0.01;1.07;-6.41;-2.37;1.76
8457;28.35;30.43;101170.41;-14.23;32.53;0.14;0;1.08;-6.32;-2.92;1.05
8567;28.35;30.43;101171.07;-14.28;32.53;0.14;0;1.07;-6.34;-2.84;0.99
8679;28.35;30.44;101169.32;-14.13;32.53;0.14;0;1.07;-5.77;-2.76;1.76
8790;28.35;30.42;101169.12;-14.12;32.53;0.14;0;1.08;-6.14;-2.64;1.68
8901;28.35;30.42;101170.47;-14.23;32.53;0.15;0;1.08;-6.7;-2.52;1.13
9012;28.35;30.42;101167.94;-14.02;32.53;0.14;0;1.08;-6.31;-2.7;1.42
9123;28.35;30.44;101168.8;-14.09;32.53;0.14;0;1.08;-6.4;-3.31;1.89
9234;28.35;30.43;101169.14;-14.12;32.53;0.14;0;1.08;-6.69;-2.37;2.05
9346;28.35;30.44;101172.02;-14.36;32.53;0.14;-0.01;1.07;-6.17;-2.75;1.18
9456;28.35;30.44;101172.16;-14.37;32.53;0.14;0;1.07;-6.17;-2.7;1.33
9568;28.35;30.44;101170.5;-14.23;32.53;0.14;0;1.07;-6.14;-2.63;0.96
9678;28.35;30.44;101171.32;-14.3;32.53;0.14;0;1.08;-6.56;-2.93;1.33
9790;28.35;30.43;101169.74;-14.17;32.53;0.14;0;1.08;-5.86;-3.94;1.66
9902;28.35;30.46;101176.07;-14.7;32.53;0.08;-0.03;1.13;-16.73;-10.34;-64.63
10016;28.35;30.44;101171.99;-14.35;32.53;0.09;-0.09;1.06;-28.18;4.49;-0.31
10129;28.35;30.44;101171.17;-14.29;32.53;0.15;0.07;1.25;-69.47;103.91;42.93
10243;28.35;30.44;101171.82;-14.34;32.53;0.04;-0.21;1.78;46.4;-19.88;65.08
10356;28.35;30.44;101169.96;-14.18;32.53;-0.23;-0.14;1.5;32.06;-11.07;152.58
10472;28.35;30.45;101171.53;-14.32;32.53;-0.25;0.27;1.18;148.15;9.28;181.57
10586;28.35;30.45;101167.71;-14;32.53;0.05;0.33;0.95;219.4;-3.92;199.22
10699;28.35;30.45;101166.69;-13.92;32.53;-0.08;0.18;0.72;73.85;-14.47;205.42
10814;28.35;30.46;101164.91;-13.77;32.53;0.06;0.3;0.66;87.89;92.4;228.35
10927;28.35;30.45;101163.08;-13.61;32.53;0.13;0.49;1.26;89.18;154.41;224.52
11040;28.35;30.45;101161.96;-13.52;32.53;0.54;0.51;1.44;65.21;56.4;157.8
11153;28.35;30.45;101160.88;-13.43;32.53;0.44;0.38;1.22;-16.32;94.64;91.63
11266;28.35;30.45;101161.96;-13.52;32.53;0;-0.02;0.89;64.64;-6.24;92.99
11379;28.35;30.45;101159.86;-13.05;32.53;0;0.27;0.78;-86.93;-47.51;34.14
11493;28.35;30.45;101154.69;-12.92;32.53;0.23;0.15;0.53;6.17;18.37;-0.58
11603;28.35;30.44;101154.24;-12.88;32.53;0.25;0.36;0.49;-34.7;31.62;-37.24
11717;27.86;30.45;101151.82;-12.67;32.53;0.11;0.4;0.49;-11.16;-34.02;0.64
11830;28.35;30.44;101151.19;-12.62;32.53;0.25;0.46;0.82;-13.94;9.22;18.18
11941;28.35;30.44;101150.35;-12.55;32.53;0.24;0.36;0.81;-14.02;-23.18;5.05
12054;28.35;30.44;101150.38;-12.56;32.53;0.32;0.41;0.72;1.59;-4.84;9.16
12166;28.35;30.45;101153.5;-12.77;32.53;0.2;0.37;0.99;3.88;-0.79;17.11
12277;28.35;30.45;101150.63;-12.58;32.53;0.31;0.4;0.97;-10;-2.49;22.72
12390;28.35;30.45;101148.42;-12.39;32.53;0.26;0.35;1.13;13.63;-3.11;10.27
12502;28.35;30.45;101149.96;-12.52;32.53;0.28;0.41;0.99;21.66;-6.82;26.05
12613;28.35;30.46;101149.19;-12.46;32.53;0.11;0.41;1;44.32;19.3;37.57
12725;28.35;30.46;101151.89;-12.68;32.53;0.16;0.42;1;-34.41;-45.76;49.71
12838;28.35;30.45;101150.74;-12.58;32.53;0.33;0.35;0.99;9.47;1.02;61.1
12950;28.35;30.46;101151.72;-12.67;32.53;0.33;0.36;0.9;-4.76;-3.42;50.15
